pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
869.520000,355.910000,697.080000,382.620000,502.960000,410.780000,313.090000,452.060000
869.740000,355.960000,697.090000,382.610000,503.090000,410.750000,312.930000,451.370000
869.860000,355.910000,697.120000,382.590000,503.110000,410.780000,312.880000,451.130000
869.830000,355.920000,697.150000,382.610000,503.080000,410.810000,312.960000,451.070000
869.800000,355.940000,697.220000,382.580000,503.110000,410.770000,313.080000,451.020000
869.810000,355.950000,697.250000,382.560000,503.130000,410.620000,313.070000,451.140000
869.810000,355.960000,697.240000,382.550000,503.120000,410.000000,313.100000,451.040000
869.860000,355.870000,697.340000,382.500000,503.010000,409.390000,313.480000,451.110000
869.860000,355.870000,697.220000,381.990000,503.010000,409.410000,313.800000,451.100000
869.860000,355.770000,697.280000,381.970000,503.060000,409.490000,313.930000,451.020000
869.920000,355.780000,697.320000,381.960000,503.220000,410.060000,313.950000,451.280000
869.960000,355.760000,697.380000,381.960000,503.530000,410.840000,313.980000,451.280000
869.870000,355.770000,697.330000,381.960000,503.990000,411.670000,314.010000,451.200000
869.950000,355.750000,697.360000,381.960000,503.950000,411.590000,314.030000,451.130000
869.950000,355.770000,697.350000,381.980000,504.000000,411.350000,313.970000,451.410000
869.950000,355.760000,697.410000,381.990000,504.080000,410.790000,313.900000,452.150000
869.960000,355.770000,697.420000,381.980000,503.910000,410.160000,313.890000,452.830000
869.950000,355.780000,697.420000,381.970000,503.790000,410.200000,313.850000,453.560000
869.950000,355.780000,697.520000,381.990000,503.890000,410.270000,313.860000,453.690000
869.950000,355.760000,697.960000,382.000000,503.890000,410.280000,313.900000,453.660000
869.950000,355.780000,697.960000,382.000000,503.990000,410.230000,313.820000,453.830000
869.930000,355.770000,697.960000,382.010000,504.070000,410.120000,313.790000,453.810000
869.980000,355.680000,697.980000,381.990000,503.880000,410.270000,313.920000,453.660000
869.950000,355.680000,697.910000,381.970000,503.820000,410.460000,313.980000,453.670000
869.950000,355.690000,697.930000,381.960000,504.120000,410.890000,313.960000,453.640000
869.960000,355.680000,697.960000,381.950000,504.030000,410.780000,314.000000,453.670000
869.970000,355.670000,698.000000,381.950000,504.130000,410.860000,314.090000,453.570000
869.960000,355.690000,697.980000,381.960000,504.070000,410.800000,314.240000,452.760000
869.990000,355.660000,698.040000,381.960000,504.180000,410.860000,314.220000,451.890000
869.980000,355.670000,697.960000,381.970000,504.250000,410.820000,314.470000,451.240000
869.980000,355.690000,698.030000,381.970000,504.400000,410.650000,314.880000,451.200000
869.960000,355.690000,698.020000,381.970000,504.870000,410.740000,314.960000,451.120000
869.950000,355.670000,698.020000,381.950000,504.860000,410.670000,315.010000,451.130000
869.990000,355.660000,698.040000,381.960000,504.940000,410.740000,314.840000,451.060000
870.020000,355.650000,698.020000,381.950000,504.990000,410.640000,314.690000,451.020000
869.970000,355.660000,697.980000,381.960000,504.850000,410.680000,314.690000,451.000000
870.060000,355.620000,698.110000,381.960000,504.790000,410.710000,314.790000,450.960000
870.050000,355.540000,698.100000,381.910000,504.820000,410.730000,314.930000,451.080000
870.030000,355.310000,698.100000,381.910000,504.790000,410.740000,315.040000,451.160000
870.010000,355.220000,698.070000,381.840000,504.890000,410.710000,314.870000,451.110000
870.010000,355.230000,698.060000,381.850000,504.830000,410.680000,314.940000,451.000000
870.000000,355.230000,698.120000,381.850000,504.780000,410.720000,314.950000,450.990000
870.010000,355.250000,698.120000,381.850000,504.800000,410.730000,315.010000,451.130000
869.990000,355.240000,698.090000,381.830000,504.740000,410.760000,315.030000,451.270000
870.000000,355.240000,698.080000,381.870000,504.800000,410.680000,314.960000,451.190000
870.020000,355.230000,698.100000,381.880000,504.860000,410.620000,315.190000,451.100000
870.010000,355.230000,698.120000,381.860000,504.870000,410.580000,315.080000,451.120000
870.000000,355.220000,698.150000,381.830000,504.940000,410.440000,315.120000,451.170000
870.040000,355.210000,698.130000,381.860000,504.710000,409.920000,314.870000,451.090000
869.990000,355.200000,698.130000,381.860000,504.400000,409.330000,314.770000,451.170000
869.990000,355.220000,698.130000,381.860000,504.010000,409.260000,314.670000,451.160000
870.020000,355.210000,698.180000,381.860000,504.030000,409.310000,314.680000,451.150000
870.060000,355.240000,698.270000,381.840000,504.180000,409.440000,314.910000,451.110000
870.060000,355.240000,698.260000,381.850000,504.210000,409.980000,314.910000,451.110000
870.070000,355.270000,698.390000,381.860000,504.560000,410.070000,315.060000,451.050000
870.080000,355.300000,698.390000,381.880000,504.990000,410.010000,315.280000,450.970000
870.090000,355.290000,698.400000,381.910000,504.960000,410.120000,315.420000,450.970000
870.090000,355.280000,698.390000,381.890000,504.970000,410.020000,315.850000,450.900000
870.070000,355.260000,698.380000,381.900000,504.970000,410.140000,315.830000,450.940000
870.070000,355.260000,698.320000,381.880000,504.920000,410.080000,315.760000,451.030000
870.070000,355.240000,698.200000,381.870000,504.880000,410.080000,315.630000,451.000000
870.060000,355.260000,698.310000,381.840000,504.920000,410.020000,315.700000,451.050000
870.070000,355.260000,698.310000,381.830000,504.940000,410.060000,315.610000,451.130000
870.070000,355.250000,698.300000,381.860000,505.010000,410.000000,315.700000,451.120000
870.070000,355.250000,698.340000,381.900000,505.010000,409.970000,315.710000,450.970000
870.070000,355.250000,698.340000,381.950000,505.030000,410.020000,315.610000,451.080000
870.080000,355.270000,698.310000,381.980000,505.010000,410.020000,315.710000,451.120000
870.090000,355.450000,698.120000,382.060000,504.840000,410.090000,315.280000,451.160000
